,0
443,-5848.885627450127
444,-5842.804783806792
445,-5836.740728969077
446,-5830.693386104778
447,-5824.662678866059
448,-5818.648531385595
449,-5812.6508682727745
450,-5806.669614609911
451,-5800.70469594851
452,-5794.756038305558
453,-5788.823568159864
454,-5782.907212448406
455,-5777.006898562753
456,-5771.12255434548
457,-5765.254108086642
458,-5759.401488520273
459,-5753.5646248209205
460,-5747.743446600209
461,-5741.937883903429
462,-5736.147867206182
463,-5730.3733274110355
464,-5724.614195844198
465,-5718.870404252261
466,-5713.141884798949
467,-5707.428570061891
468,-5701.730393029439
469,-5696.047287097516
470,-5690.379186066474
471,-5684.726024138
472,-5679.087735912052
473,-5673.464256383795
474,-5667.855520940611
475,-5662.261465359087
476,-5656.682025802066
477,-5651.1171388157145
478,-5645.566741326608
479,-5640.0307706388585
480,-5634.50916443125
481,-5629.00186075442
482,-5623.508798028049
483,-5618.029915038084
484,-5612.56515093399
485,-5607.114445226017
486,-5601.6777377825
487,-5596.25496882718
488,-5590.84607893654
489,-5585.451009037193
490,-5580.069700403255
491,-5574.70209465377
492,-5569.348133750147
493,-5564.007759993627
494,-5558.680916022756
495,-5553.367544810897
496,-5548.067589663766
497,-5542.780994216967
498,-5537.507702433581
499,-5532.2476586017465
500,-5527.000807332282
501,-5521.767093556316
502,-5516.5464625229515
503,-5511.338859796938
504,-5506.144231256368
505,-5500.962523090396
506,-5495.793681796986
507,-5490.637654180646
508,-5485.494387350232
509,-5480.363828716727
510,-5475.24592599106
511,-5470.140627181947
512,-5465.047880593735
513,-5459.967634824279
514,-5454.899838762839
515,-5449.844441587971
516,-5444.8013927654765
517,-5439.770642046323
518,-5434.752139464627
519,-5429.7458353356205
520,-5424.751680253654
521,-5419.769625090209
522,-5414.799620991929
523,-5409.841619378669
524,-5404.895571941559
525,-5399.961430641081
526,-5395.039147705177
527,-5390.128675627352
528,-5385.229967164809
529,-5380.3429753365945
530,-5375.4676534217515
531,-5370.603954957516
532,-5365.751833737485
533,-5360.911243809839
534,-5356.082139475561
535,-5351.26447528667
536,-5346.458206044479
537,-5341.663286797855
538,-5336.879672841511
539,-5332.1073197142905
540,-5327.346183197475
541,-5322.596219313125
542,-5317.857384322405
543,-5313.129634723931
544,-5308.412927252146
545,-5303.707218875695
546,-5299.012466795819
547,-5294.328628444752
548,-5289.655661484154
549,-5284.993523803528
550,-5280.3421735186785
551,-5275.7015689701575
552,-5271.07166872174
553,-5266.452431558908
554,-5261.843816487342
555,-5257.245782731427
556,-5252.658289732779
557,-5248.0812971487685
558,-5243.51476485107
559,-5238.958652924214
560,-5234.4129216641595
561,-5229.87753157686
562,-5225.35244337687
563,-5220.837617985935
564,-5216.33301653161
565,-5211.838600345883
566,-5207.354330963804
567,-5202.880170122141
568,-5198.41607975803
569,-5193.962022007648
570,-5189.517959204884
571,-5185.083853880037
572,-5180.659668758509
573,-5176.245366759519
574,-5171.840910994817
575,-5167.4462647674245
576,-5163.0613915703625
577,-5158.6862550854175
578,-5154.320819181882
579,-5149.965047915345
580,-5145.618905526457
581,-5141.2823564397295
582,-5136.955365262325
583,-5132.637896782875
584,-5128.329915970287
585,-5124.031387972583
586,-5119.742278115729
587,-5115.462551902483
588,-5111.192175011247
589,-5106.931113294932
590,-5102.679332779835
591,-5098.43679966451
592,-5094.203480318664
593,-5089.979341282063
594,-5085.764349263421
595,-5081.558471139329
596,-5077.361673953178
597,-5073.173924914088
598,-5068.995191395846
599,-5064.825440935861
600,-5060.664641234116
601,-5056.5127601521335
602,-5052.369765711954
603,-5048.235626095103
604,-5044.110309641596
605,-5039.9937848489235
606,-5035.8860203710565
607,-5031.786985017464
608,-5027.69664775212
609,-5023.614977692546
610,-5019.541944108831
611,-5015.477516422676
612,-5011.421664206448
613,-5007.374357182235
614,-5003.3355652208975
